Sierra Designs Pyro 0 (Regular), $379.95, 1361 gm 48.0 oz 3.00 lb, 0 F-18 C, 600 Down, 62", , 16" x 9", Regular: Fits up to 6'
Sierra Designs Pyro 0 (Long), $399.95, 1446 gm 51.0 oz 3.19 lb, 0 F-18 C, 600 Down, 64", , 16" x 9", Long: Fits up to 6'6"
Slumberjack Lone Pine 0 (Regular), $99.95, 1644 gm 58.0 oz 3.63 lb, 0 F-18 C, Synth, ?", , 15" x 9", Regular: Fits up to 6'
Slumberjack Lone Pine 0 (Long), $109.95, 1786 gm 63.0 oz 3.94 lb, 0 F-18 C, Synth, ?", , 16" x 9", Long: Fits up to 6'6"
The North Face Inferno 0 (Regular), $489.00, 1332 gm 47.0 oz 2.94 lb, 0 F-18 C, 850 Down, 64", , 18" x 10", Regular: Fits up to 6'
The North Face Inferno 0 (Long), $509.00, 1446 gm 51.0 oz 3.19 lb, 0 F-18 C, 850 Down, 65", , 18" x 10", Long: Fits up to 6'6"
The North Face Inferno -40 (Regular), $699.00, 1814 gm 64.0 oz 4.00 lb, -40 F-40 C, 850 Down, 64", , 22" x 12", Regular: Fits up to 6'
The North Face Inferno -40 (Long), $729.00, 1956 gm 69.0 oz 4.31 lb, -40 F-40 C, 850 Down, 65", , 22" x 12", Long: Fits up to 6'6"
The North Face Inferno -20 (Regular), $569.00, 1531 gm 54.0 oz 3.38 lb, -20 F-29 C, 850 Down, 64", , 21" x 11", Regular: Fits up to 6'
The North Face Inferno -20 (Long), $599.00, 1644 gm 58.0 oz 3.63 lb, -20 F-29 C, 850 Down, 65", , 21" x 11", Long: Fits up to 6'6"
The North Face Dark Star 0 (Regular), $269.00, 1814 gm 64.0 oz 4.00 lb, 0 F-18 C, Synth, 64", , 21" x 10", Regular: Fits up to 6'
The North Face Dark Star 0 (Long), $279.00, 1928 gm 68.0 oz 4.25 lb, 0 F-18 C, Synth, 65", , 21" x 10", Long: Fits up to 6'6"
The North Face Dark Star -40 (Regular), $359.00, 2722 gm 96.0 oz 6.00 lb, -40 F-40 C, Synth, 64", , 22" x 12", Regular: Fits up to 6'
The North Face Dark Star -40 (Long), $379.00, 2892 gm 102.0 oz 6.38 lb, -40 F-40 C, Synth, 65", , 22" x 12", Long: Fits up to 6'6"
The North Face Dark Star -20 (Regular), $309.00, 2353 gm 83.0 oz 5.19 lb, -20 F-29 C, Synth, 64", , 21" x 11", Regular: Fits up to 6'
The North Face Dark Star -20 (Long), $329.00, 2523 gm 89.0 oz 5.56 lb, -20 F-29 C, Synth, 65", , 21" x 11", Long: Fits up to 6'6"
The North Face Superlight (Regular), $329.00, 1445 gm 51.0 oz 3.19 lb, 0 F-18 C, 650 Down, ?", , 23" x 7", Regular: Fits up to 6'
The North Face Superlight (Long), $339.00, 1545 gm 54.5 oz 3.41 lb, 0 F-18 C, 650 Down, ?", , 23" x 7", Long: Fits up to 6'6"
The North Face Aleutian 4S (Regular), $139.00, 2268 gm 80.0 oz 5.00 lb, 0 F-18 C, Synth, 63", , 22" x 11", Regular: Fits up to 6'
The North Face Aleutian 4S (Long), $149.00, 2466 gm 87.0 oz 5.44 lb, 0 F-18 C, Synth, 64", , 23" x 12", Long: Fits up to 6'6"
The North Face Aleutian 4S (X-Long), $159.00, 2693 gm 95.0 oz 5.94 lb, 0 F-18 C, Synth, 65", , 23" x 12", XLong: Fits up to 7'
The North Face Elkhorn -20 (Regular), $189.00, 3130 gm 110.4 oz 6.90 lb, -20 F-29 C, Synth, ?", , 22" x 14", Regular: Fits up to 6'
The North Face Elkhorn -20 (Long), $199.00, 3400 gm 119.9 oz 7.50 lb, -20 F-29 C, Synth, ?", , 22" x 14", Long: Fits up to 6'6"
The North Face Snow Leopard (Regular), $219.00, 1757 gm 62.0 oz 3.87 lb, 0 F-18 C, Synth, 64", , 23" x 11", Regular: Fits up to 6'
The North Face Snow Leopard (Long), $229.00, 1878 gm 66.2 oz 4.14 lb, 0 F-18 C, Synth, 65", , 23" x 11", Long: Fits up to 6'6"
Therm-a-Rest Altair (Regular), $459.95, 1120 gm 39.5 oz 2.47 lb, 0 F-18 C, 750 Down, 62", , 18" x 8", Regular: Fits up to 6'
