Montbell Super Spiral Down Hugger #1 (Regular), $279.00, 1332 gm 47.0 oz 2.94 lb, 15 F-9 C, 650 Down, 75", 14.8" x 7.5", Regular: Fits up to 6'
Montbell Super Spiral Down Hugger #1 (Long), $309.00, 1474 gm 52.0 oz 3.25 lb, 15 F-9 C, 650 Down, 81", 15.6" x 8", Long: Fits up to 6'6"
Montbell Super Spiral Down Hugger #3 (Regular), $199.00, 879 gm 31.0 oz 1.94 lb, 30 F-1 C, 650 Down, 75", 12.5" x 6.3", Regular: Fits up to 6'
Montbell Super Spiral Down Hugger #3 (Long), $229.00, 964 gm 34.0 oz 2.13 lb, 30 F-1 C, 650 Down, 81", 13.3" x 6.7", Long: Fits up to 6'6"
Montbell Super Spiral Burrow Bag #1 (Regular), $189.00, 1928 gm 68.0 oz 4.25 lb, 15 F-9 C, Synth, 75", 17.4" x 8.6", Regular: Fits up to 6'
Montbell Super Spiral Burrow Bag #1 (Long), $209.00, 2041 gm 72.0 oz 4.50 lb, 15 F-9 C, Synth, 81", 17.9" x 8.8", Long: Fits up to 6'6"
Montbell Super Spiral Burrow Bag #3 (Regular), $149.00, 1134 gm 40.0 oz 2.50 lb, 30 F-1 C, Synth, 75", 14.8" x 7.5", Regular: Fits up to 6'
Montbell Super Spiral Burrow Bag #3 (Long), $169.00, 1219 gm 43.0 oz 2.69 lb, 30 F-1 C, Synth, 81", 14.8" x 7.5", Long: Fits up to 6'6"
Mountain Hardwear Lamina 20 (Regular), $200.00, 1304 gm 46.0 oz 2.88 lb, 20 F-7 C, Synth, 62", 15.5" x 7", Regular: Fits up to 6'
Mountain Hardwear Lamina 20 (Long), $220.00, 1389 gm 49.0 oz 3.06 lb, 20 F-7 C, Synth, 64", 15.5" x 7", Long: Fits up to 6'6"
Mountain Hardwear Phantom 15 (Regular), $500.00, 936 gm 33.0 oz 2.06 lb, 15 F-9 C, 800 Down, 60", 12" x 7", Regular: Fits up to 6'
