MontBell Cross Runner Pack 15, , $75.00, 417 gm 14.7 oz 0.92 lb, 915 cu. in.15 liters, ~1-1 lbs
MontBell Colorado Daypack, , $98.00, 580 gm 20.5 oz 1.28 lb, 1220 cu. in.20 liters, ~1-1 lbs
MontBell Bernina Pack 10, , $49.00, 314 gm 11.1 oz 0.69 lb, 610 cu. in.10 liters, ~1-1 lbs
MontBell Bernina Pack 15, , $55.00, 368 gm 13.0 oz 0.81 lb, 915 cu. in.15 liters, ~1-1 lbs
MontBell First Pack 20, , $58.00, 575 gm 20.3 oz 1.27 lb, 1220 cu. in.20 liters, ~1-1 lbs
MontBell Flat Iron Pack 20, , $74.00, 530 gm 18.7 oz 1.17 lb, 1220 cu. in.20 liters, ~1-1 lbs
MontBell Garwhar Pack 25, , $59.00, 547 gm 19.3 oz 1.21 lb, 1526 cu. in.25 liters, ~1-1 lbs
MontBell Strider Pack 25, , $99.00, 965 gm 34.0 oz 2.13 lb, 1525 cu. in.25 liters, ~1-1 lbs
MontBell Delight Pack 25, , $62.00, 460 gm 16.2 oz 1.01 lb, 1525 cu. in.25 liters, ~1-1 lbs
Montane Medusa 32, , $127.95, 967 gm 34.1 oz 2.13 lb, 1953 cu. in.32 liters, ~1-1 lbs
Montane Anaconda 18, , $98.95, 675 gm 23.8 oz 1.49 lb, 1098 cu. in.18 liters, ~1-1 lbs
Montane Cobra 25, , $113.95, 873 gm 30.8 oz 1.92 lb, 1526 cu. in.25 liters, ~1-1 lbs
Montane Ultra Tour 22, , $109.95, 540 gm 19.0 oz 1.19 lb, 1343 cu. in.22 liters, ~1-1 lbs
Mountain Hardwear Direttissima 35, , $200.00, 1361 gm 48.0 oz 3.00 lb, 2135 cu. in.35 liters, ~1-1 lbs
Mountain Hardwear Wandrin 32 (S/M), , $185.00, 1304 gm 46.0 oz 2.88 lb, 1950 cu. in.32 liters, ~1-1 lbs
Mountain Hardwear Wandrin 32 (M/L), , $185.00, 1389 gm 49.0 oz 3.06 lb, 2150 cu. in.35 liters, ~1-1 lbs
Mountain Hardwear Scrambler TRL 30, , $100.00, 737 gm 26.0 oz 1.63 lb, 1810 cu. in.30 liters, ~1-1 lbs
